id;placed_date;status;code;invoice_id;customer_id
1;2019-10-20T07:23:35;CANCELLED;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-20T12:13:18;PENDING;Frozen Analyst card;redundant;2
3;2019-10-20T07:46:12;CANCELLED;Chips;navigating;3
4;2019-10-19T21:34:00;PENDING;Optimized;microchip;4
5;2019-10-19T22:25:32;PENDING;e-markets system;Organic;5
6;2019-10-20T05:43:36;PENDING;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-19T17:44:21;PENDING;online e-business;systems integrate;7
8;2019-10-19T23:29:23;CANCELLED;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-20T00:12:42;COMPLETED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-19T15:12:06;COMPLETED;yellow;Books Generic;10
